,month,day,hour,weekday,avg_hrly_temp
1772,12,6,2,4,16.25
1774,12,6,3,4,16.15
1776,12,6,4,4,16.1
1778,12,6,5,4,15.9
1780,12,6,6,4,15.850000000000001
1782,12,6,7,4,15.75
1784,12,6,8,4,15.7
1786,12,6,9,4,15.649999999999999
1788,12,6,10,4,15.85
1790,12,6,11,4,16.0
